id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,dumbbell step-up split squat,quads,"glutes, hamstrings, calves",upper legs,dumbbell,,,,,,"Stand in front of a bench or step with a dumbbell in each hand, palms facing your body. Place your right foot on the bench or step, ensuring your entire foot is in contact with the surface. Step up onto the bench or step with your right foot, pushing through your heel to lift your body up. As you step up, simultaneously lift your left knee towards your chest. Pause at the top of the movement, then slowly lower your left foot back to the ground while keeping your right foot on the bench or step. Repeat the movement with your left foot on the bench or step. Continue alternating between your right and left foot for the desired number of repetitions."
,dumbbell step-up lunge,quads,"glutes, hamstrings, calves",upper legs,dumbbell,,,,,,"Stand in front of a step or platform with a dumbbell in each hand, palms facing your sides. Place your right foot on the step, ensuring your entire foot is on the surface. Push through your right heel and lift your body up onto the step, bringing your left foot up as well. Once both feet are on the step, lower your left foot back down to the starting position, keeping your right foot on the step. Repeat the movement, alternating which foot you step up with each time. Continue for the desired number of repetitions."
,dumbbell single leg split squat,quads,"glutes, hamstrings, calves",upper legs,dumbbell,,,,,,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Take a step forward with one foot and position your feet so that your front foot is flat on the ground and your back foot is elevated on a bench or step. Lower your body by bending your front knee and hip, keeping your back knee slightly bent and your back heel off the ground. Continue lowering until your front thigh is parallel to the ground, then push through your front heel to return to the starting position. Repeat for the desired number of repetitions, then switch legs and repeat."
,dumbbell goblet squat,quads,"glutes, hamstrings, calves",upper legs,dumbbell,,,,,,"Stand with your feet shoulder-width apart, holding a dumbbell vertically against your chest with both hands. Keeping your chest up and core engaged, lower your body down into a squat position by pushing your hips back and bending your knees. Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions."
,farmers walk,quads,"calves, forearms, core",upper legs,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your sides. Keep your back straight and your shoulders back. Take small, controlled steps forward, maintaining an upright posture. Continue walking for the desired distance or time. To finish, stop walking and carefully lower the dumbbells to your sides."
,lever leg extension,quads,hamstrings,upper legs,leverage machine,,,,,,"Adjust the seat height and backrest of the machine to fit your body. Sit on the machine with your back against the backrest and your feet on the footpad. Grasp the handles or sidebars for stability. Extend your legs forward by straightening your knees, lifting the weight. Pause for a moment at the top, then slowly lower the weight back to the starting position. Repeat for the desired number of repetitions."
,lever alternate leg press,quads,"hamstrings, glutes",upper legs,leverage machine,,,,,,"Adjust the seat and foot platform of the leverage machine to your desired position. Sit on the machine with your back against the backrest and your feet on the foot platform. Place your hands on the handles or sides of the machine for stability. Push one foot against the foot platform, extending your leg until it is almost fully straight. Pause for a moment, then slowly bend your leg and return to the starting position. Repeat with the other leg. Continue alternating legs for the desired number of repetitions."
,resistance band leg extension,quads,hamstrings,upper legs,resistance band,,,,,,"Attach the resistance band to a sturdy anchor point and secure it around your ankle. Stand facing the anchor point with your feet shoulder-width apart. Keeping your core engaged and your upper body stable, extend your leg straight out in front of you. Pause for a moment at the top, then slowly return your leg to the starting position. Repeat for the desired number of repetitions, then switch legs."
,intermediate hip flexor and quad stretch,quads,"hamstrings, glutes",upper legs,rope,,,,,,"Stand upright with your feet shoulder-width apart. Hold onto a stable object for support. Bend your right knee and bring your right foot towards your glutes, grabbing the rope with your right hand. Slowly pull your right foot towards your glutes, feeling a stretch in your right quad. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the left side."
,smith chair squat,quads,"glutes, hamstrings, calves",upper legs,smith machine,,,,,,"Adjust the height of the smith machine bar to a comfortable position. Stand with your feet shoulder-width apart, toes slightly turned out. Place the barbell across your upper back, resting it on your traps. Engage your core and keep your chest up as you slowly lower your body by bending your knees and hips. Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Pause for a moment, then push through your heels to return to the starting position. Repeat for the desired number of repetitions."
,smith single leg split squat,quads,"glutes, hamstrings",upper legs,smith machine,,,,,,"Stand in front of the smith machine with your feet shoulder-width apart. Place one foot behind you on a bench or step, with your toes pointing forward. Hold onto the smith machine bar for stability. Bend your front knee and lower your body down into a lunge position, keeping your back straight. Pause for a moment at the bottom, then push through your front heel to return to the starting position. Repeat for the desired number of repetitions, then switch legs."
,weighted sissy squat,quads,"glutes, hamstrings, calves",upper legs,weighted,,,,,,"Stand with your feet shoulder-width apart and your toes pointing slightly outward. Hold a weight in front of your chest with both hands, or place a barbell across your upper back. Keeping your chest up and your core engaged, slowly lower your body down by bending at the knees and hips. Continue lowering until your thighs are parallel to the ground or as low as you can comfortably go. Pause for a moment at the bottom, then push through your heels to return to the starting position. Repeat for the desired number of repetitions."
,barbell incline shoulder raise,serratus anterior,"deltoids, trapezius",chest,barbell,,,,,,"Set up an incline bench at a 45-degree angle. Sit on the bench with your back against the pad and feet flat on the ground. Hold a barbell with an overhand grip, slightly wider than shoulder-width apart. Lift the barbell up to shoulder height, keeping your elbows slightly bent. Slowly raise the barbell overhead, extending your arms fully. Pause for a moment at the top, then slowly lower the barbell back to shoulder height. Repeat for the desired number of repetitions."
,incline scapula push-up,serratus anterior,"triceps, shoulders",chest,body weight,,,,,,"Set up an incline bench at a 45-degree angle. Place your hands on the bench slightly wider than shoulder-width apart. Position your feet on the ground, hip-width apart. Lower your chest towards the bench, keeping your elbows tucked in. As you lower, retract your shoulder blades, squeezing your scapulae together. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions."
,scapula push-up,serratus anterior,"triceps, shoulders",chest,body weight,,,,,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Lower your chest towards the ground, keeping your elbows close to your body. As you lower, squeeze your shoulder blades together and push your chest forward. Pause for a moment at the bottom, then push back up to the starting position. Repeat for the desired number of repetitions."
,dumbbell incline shoulder raise,serratus anterior,"deltoids, trapezius",chest,dumbbell,,,,,,"Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing down. Rest the dumbbells on your thighs and lean back onto the bench. Use your thighs to help raise the dumbbells to shoulder height, then rotate your wrists so that your palms are facing forward. Exhale and slowly raise the dumbbells above your head, keeping a slight bend in your elbows. Pause for a moment at the top, then inhale and slowly lower the dumbbells back to shoulder height. Repeat for the desired number of repetitions."
,smith incline shoulder raises,serratus anterior,"deltoids, trapezius",chest,smith machine,,,,,,"Adjust the smith machine to an incline position. Stand facing the machine with your feet shoulder-width apart. Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Keep your back straight and core engaged. Raise the barbell up towards the ceiling, leading with your elbows. Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Repeat for the desired number of repetitions."
,band straight leg deadlift,spine,"hamstrings, glutes",back,band,,,,,,"Stand with your feet shoulder-width apart and place the band around your feet. Hold the band with both hands, palms facing your body, and keep your arms straight. Engage your core and maintain a slight bend in your knees. Slowly hinge forward at your hips, keeping your back straight and chest lifted. Lower the band towards the ground while keeping your legs straight. Pause for a moment at the bottom, then squeeze your glutes and hamstrings to return to the starting position. Repeat for the desired number of repetitions."
,lower back curl,spine,"glutes, hamstrings",back,body weight,,,,,,"Lie flat on your stomach with your legs extended and your arms by your sides. Engage your glutes and hamstrings, and slowly lift your upper body off the ground, curling your back upwards. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,hyperextension,spine,"glutes, hamstrings",back,body weight,,,,,,"Adjust the hyperextension bench so that your upper thighs are resting on the pad and your feet are secured. Cross your arms over your chest or place your hands behind your head. Lower your upper body towards the ground while keeping your back straight. Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs. Repeat for the desired number of repetitions."
,standing pelvic tilt,spine,abdominals,back,body weight,,,,,,"Stand with your feet shoulder-width apart and your knees slightly bent. Place your hands on your hips or let them hang by your sides. Engage your core muscles and tilt your pelvis forward, pushing your lower back towards the wall behind you. Hold the position for a few seconds, then release and return to the starting position. Repeat for the desired number of repetitions."
,upward facing dog,spine,"shoulders, chest",back,body weight,,,,,,"Lie face down on the floor with your legs extended behind you. Place your hands on the floor next to your lower ribs, fingers pointing forward. Press your hands firmly into the floor and straighten your arms, lifting your torso and thighs off the ground. Roll your shoulders back and down, opening your chest and lifting your gaze towards the ceiling. Hold this position for a few breaths, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,sphinx,spine,"glutes, hamstrings",back,body weight,,,,,,"Lie face down on the ground with your forearms flat on the floor, elbows directly under your shoulders. Engage your core and lift your chest off the ground, keeping your forearms and toes on the floor. Hold this position for a few seconds, making sure to keep your neck in a neutral position. Slowly lower your chest back down to the starting position. Repeat for the desired number of repetitions."
,two toe touch  ,spine,"hamstrings, glutes",back,body weight,,,,,,"Stand with your feet shoulder-width apart and your arms extended out to the sides. Bend forward at the waist, keeping your back straight and your knees slightly bent. Reach down towards your toes with both hands, keeping your legs straight. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions."
,spine stretch,spine,"hamstrings, glutes",back,body weight,,,,,,"Sit on the ground with your legs extended in front of you. Place your hands on the ground behind you, fingers pointing towards your body. Engage your core and slowly lean back, keeping your back straight. Continue leaning back until you feel a stretch in your spine. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions."
,lever back extension,spine,"glutes, hamstrings",back,leverage machine,,,,,,"Adjust the machine to fit your body size and range of motion. Sit on the machine with your back against the pad and your feet secured. Place your hands on the handles or grip bars. Engage your core and slowly lean forward, allowing your back to round slightly. Pause for a moment at the bottom position, feeling a stretch in your lower back. Using your back muscles, slowly raise your torso back to the starting position. Repeat for the desired number of repetitions."
,roller back stretch,spine,"hamstrings, glutes",back,roller,,,,,,"Start by sitting on the ground with your legs extended in front of you. Place the roller perpendicular to your body, just below your glutes. Slowly roll your body backwards, allowing the roller to move up your back. Continue rolling until the roller reaches your upper back. Pause for a moment, then slowly roll back to the starting position. Repeat for the desired number of repetitions."
,exercise ball hug,spine,"shoulders, chest",back,stability ball,,,,,,"Sit on the stability ball with your feet flat on the ground and your back straight. Hold the stability ball with both hands, hugging it close to your chest. Engage your core muscles and slowly lean back, keeping your back straight and your feet planted on the ground. Continue leaning back until you feel a stretch in your back muscles. Hold the position for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions."
,back extension on exercise ball,spine,"glutes, hamstrings",back,stability ball,,,,,,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface. Position your hands behind your head or crossed over your chest. Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,exercise ball prone leg raise,spine,"abdominals, glutes",back,stability ball,,,,,,"Lie face down on a mat with your legs extended and your toes resting on top of the stability ball. Place your hands on the ground, shoulder-width apart, and engage your core muscles. Keeping your legs straight, slowly lift them off the ground, using your lower back and glutes to raise them as high as possible. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,exercise ball back extension with hands behind head,spine,"glutes, hamstrings",back,stability ball,,,,,,"Place the stability ball on the ground and lie face down on top of it with your hips resting on the ball. Position your feet against a wall or other stable surface for support. Cross your arms behind your head, with your hands touching the back of your head. Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your hips. Pause for a moment at the top of the movement, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,weighted hyperextension,spine,"glutes, hamstrings",back,weighted,,,,,,"Adjust the hyperextension bench so that your upper thighs are resting on the pad. Pick a weight dumbbell or a plate and hold it on your chest or with straight arms. Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,band shrug,traps,shoulders,back,band,,,,,,"Stand with your feet shoulder-width apart and place the band under your feet, holding the ends with your hands. Keep your arms straight and relaxed, and let the band hang in front of your thighs. Engage your traps by shrugging your shoulders upward, lifting the band as high as possible. Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,barbell shrug,traps,shoulders,back,barbell,,,,,,"Stand with your feet shoulder-width apart and hold a barbell in front of you with an overhand grip. Keep your arms straight and your back straight throughout the exercise. Lift your shoulders up towards your ears as high as possible, squeezing your traps at the top. Hold for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,scapular pull-up,traps,"biceps, rhomboids, rear deltoids",back,body weight,,,,,,"Start by hanging from a pull-up bar with your palms facing away from you and your arms fully extended. Retract your shoulder blades by pulling them down and back. Engage your back muscles and pull your body up towards the bar, focusing on squeezing your shoulder blades together. Pause for a moment at the top of the movement, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
,scapula dips,traps,"rhomboids, deltoids",back,body weight,,,,,,"Start by standing with your feet shoulder-width apart and your arms extended in front of you. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Lower your body by bending your elbows and retracting your shoulder blades, as if you are trying to squeeze a pencil between them. Pause for a moment at the bottom, then push through your hands to extend your elbows and return to the starting position. Repeat for the desired number of repetitions."
,cable shrug,traps,shoulders,back,cable,,,,,,"Stand facing the cable machine with your feet shoulder-width apart. Grasp the cable handles with an overhand grip and let your arms hang down in front of you. Keeping your arms straight, shrug your shoulders up towards your ears. Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell shrug,traps,shoulders,back,dumbbell,,,,,,"Stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing your body. Keep your arms straight and let the dumbbells hang by your sides. Raise your shoulders as high as possible, as if you are trying to touch your ears with your shoulders. Hold the contraction for a second, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,kettlebell sumo high pull,traps,"shoulders, glutes, hamstrings",back,kettlebell,,,,,,"Stand with your feet wider than shoulder-width apart, toes pointing outwards. Hold a kettlebell with both hands in front of your body, arms extended downwards. Bend your knees and lower your hips into a squat position, keeping your back straight. Drive through your heels and explosively extend your hips and knees, pulling the kettlebell up towards your chin. As you pull the kettlebell up, keep your elbows high and wide, and squeeze your shoulder blades together. Lower the kettlebell back down to the starting position and repeat for the desired number of repetitions."
,lever shrug,traps,shoulders,back,leverage machine,,,,,,"Adjust the seat height and position yourself on the leverage machine with your back against the pad. Grasp the handles with an overhand grip and keep your arms straight. Keeping your back straight, lift your shoulders up towards your ears as high as possible. Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,smith shrug,traps,shoulders,back,smith machine,,,,,,"Stand with your feet shoulder-width apart and your knees slightly bent. Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Keep your arms straight and your shoulders relaxed. Lift your shoulders up towards your ears, squeezing your traps at the top. Hold for a moment, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
,assisted standing triceps extension (with towel),triceps,shoulders,upper arms,assisted,,,,,,"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head. Keep your elbows close to your ears and your upper arms stationary. Slowly extend your forearms upward, squeezing your triceps at the top. Pause for a moment, then slowly lower the towel back down to the starting position. Repeat for the desired number of repetitions."
,band close-grip push-up,triceps,"chest, shoulders",upper arms,band,,,,,,"Place a band around your upper arms, just above the elbows. Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels. Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions."
,band side triceps extension,triceps,shoulders,upper arms,band,,,,,,"Stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. Extend your arms straight out to the sides, keeping them parallel to the ground. Slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. Pause for a moment, then slowly extend your arms back out to the starting position. Repeat for the desired number of repetitions."
,barbell pin presses,triceps,shoulders,upper arms,barbell,,,,,,"Set up a barbell on a power rack at chest height. Stand facing the barbell and position yourself underneath it, with your feet shoulder-width apart. Grip the barbell with an overhand grip, slightly wider than shoulder-width apart. Lift the barbell off the rack and hold it directly above your chest, with your arms fully extended. Lower the barbell down towards your chest, keeping your elbows tucked in close to your body. Pause for a moment when the barbell touches your chest. Push the barbell back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,barbell lying triceps extension skull crusher,triceps,shoulders,upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Pause for a moment when the barbell is just above your forehead, then extend your arms back up to the starting position. Repeat for the desired number of repetitions."
,barbell standing overhead triceps extension,triceps,shoulders,upper arms,barbell,,,,,,"Stand with your feet shoulder-width apart and hold a barbell with an overhand grip. Raise the barbell overhead, fully extending your arms. Keeping your upper arms close to your head, slowly lower the barbell behind your head by bending your elbows. Pause for a moment, then raise the barbell back to the starting position by extending your arms. Repeat for the desired number of repetitions."
,barbell seated overhead triceps extension,triceps,shoulders,upper arms,barbell,,,,,,"Sit on a bench with your back straight and feet flat on the ground. Hold a barbell with an overhand grip, hands shoulder-width apart, and raise it overhead. Lower the barbell behind your head by bending your elbows, keeping your upper arms close to your head. Pause for a moment, then extend your arms to raise the barbell back to the starting position. Repeat for the desired number of repetitions."
,barbell seated close grip behind neck triceps extension,triceps,shoulders,upper arms,barbell,,,,,,"Sit on a bench with your back straight and feet flat on the ground. Hold the barbell with a close grip behind your neck, palms facing forward. Keep your elbows close to your head and slowly lower the barbell towards the back of your head. Pause for a moment, then extend your arms back up to the starting position. Repeat for the desired number of repetitions."
,barbell lying triceps extension,triceps,shoulders,upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Pause for a moment at the bottom, then extend your arms back up to the starting position. Repeat for the desired number of repetitions."
,barbell lying back of the head tricep extension,triceps,shoulders,upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows. Pause for a moment, then extend your arms back up to the starting position. Repeat for the desired number of repetitions."
,barbell lying close-grip press,triceps,"chest, shoulders",upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Grasp the barbell with a close grip, hands shoulder-width apart, palms facing towards your feet. Lift the barbell off the rack and hold it directly above your chest with your arms fully extended. Slowly lower the barbell towards your chest, keeping your elbows close to your body. Pause for a moment when the barbell touches your chest, then push it back up to the starting position. Repeat for the desired number of repetitions."
,barbell incline close grip bench press,triceps,"chest, shoulders",upper arms,barbell,,,,,,"Set up an incline bench at a 45-degree angle. Lie down on the bench with your feet flat on the ground. Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. Pause for a moment when the barbell touches your chest. Push the barbell back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,barbell lying close-grip triceps extension,triceps,shoulders,upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Grasp the barbell with a close grip, hands shoulder-width apart, palms facing up. Extend your arms fully, lifting the barbell above your chest. Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Pause for a moment at the bottom, then extend your arms back to the starting position. Repeat for the desired number of repetitions."
,barbell lying extension,triceps,shoulders,upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Pause for a moment, then extend your arms back up to the starting position. Repeat for the desired number of repetitions."
,barbell close-grip bench press,triceps,"chest, shoulders",upper arms,barbell,,,,,,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. Pause for a moment when the barbell touches your chest. Push the barbell back up to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,body-up,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Start by placing your hands on a raised surface, such as a bench or parallel bars, with your palms facing down and fingers pointing forward. Extend your legs out in front of you, keeping your heels on the ground and your body straight. Lower your body by bending your elbows, keeping them close to your sides, until your upper arms are parallel to the ground. Pause for a moment, then push through your palms to straighten your arms and lift your body back up to the starting position. Repeat for the desired number of repetitions."
,bench dip on floor,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Sit on the edge of a bench or chair with your hands gripping the edge, fingers pointing forward. Slide your butt off the bench, supporting your weight with your hands. Lower your body by bending your elbows until your upper arms are parallel to the floor. Push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions."
,bench dip (knees bent),triceps,"chest, shoulders",upper arms,body weight,,,,,,"Sit on the edge of a bench or chair with your hands gripping the edge next to your hips. Slide your butt off the bench and straighten your legs in front of you, keeping your heels on the ground. Bend your elbows and lower your body towards the ground, keeping your back close to the bench. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
,stalder press,triceps,"shoulders, core",upper arms,body weight,,,,,,"Start by standing with your feet shoulder-width apart and your arms extended overhead. Bend your knees slightly and engage your core. Lower your body down into a squat position while keeping your arms extended overhead. As you squat down, press your arms down towards the ground, engaging your triceps. Pause for a moment at the bottom of the squat, then push through your heels to stand back up while simultaneously raising your arms back overhead. Repeat for the desired number of repetitions."
,diamond push-up,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Start in a high plank position with your hands close together, forming a diamond shape with your thumbs and index fingers. Keep your body in a straight line from head to toe, engaging your core and glutes. Lower your chest towards the diamond shape formed by your hands, keeping your elbows close to your body. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
,handstand push-up,triceps,"shoulders, chest, core",upper arms,body weight,,,,,,"Find a wall and face away from it, standing a few feet away. Place your hands on the ground shoulder-width apart and kick your feet up against the wall, coming into a handstand position. Bend your elbows and lower your head towards the ground, keeping your body in a straight line. Push through your hands and extend your arms to return to the starting position. Repeat for the desired number of repetitions."
,close-grip push-up,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Start in a high plank position with your hands placed close together, directly under your shoulders. Engage your core and lower your body towards the ground, keeping your elbows close to your sides. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions."
,close-grip push-up (on knees),triceps,"chest, shoulders",upper arms,body weight,,,,,,"Start by getting on your hands and knees, with your hands shoulder-width apart and your knees hip-width apart. Lower your upper body towards the ground by bending your elbows, keeping them close to your sides. Pause for a moment when your chest is just above the ground. Push through your palms to straighten your arms and return to the starting position. Repeat for the desired number of repetitions."
,triceps dip,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Sit on the edge of a bench or chair with your hands gripping the edge, fingers pointing forward. Slide your butt off the bench, supporting your weight with your hands. Bend your elbows and lower your body towards the ground, keeping your back close to the bench. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
,ring dips,triceps,"chest, shoulders",upper arms,body weight,,,,,,Start by hanging from the rings with your arms fully extended and your body straight. Lower your body by bending your elbows until your shoulders are below your elbows. Push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions.
,overhead triceps stretch,triceps,shoulders,upper arms,body weight,,,,,,"Stand or sit upright with your feet shoulder-width apart. Extend one arm overhead, bending at the elbow so that your hand reaches towards the opposite shoulder blade. With your other hand, gently pull the elbow of the extended arm towards the opposite side of your head, feeling a stretch in your triceps. Hold the stretch for 15-30 seconds, then release. Repeat on the other side."
,triceps stretch,triceps,shoulders,upper arms,body weight,,,,,,"Stand or sit upright with your back straight. Extend one arm overhead, bending it at the elbow. Place your opposite hand on the bent elbow and gently pull it towards your head. Hold the stretch for 15-30 seconds, feeling a gentle stretch in your triceps. Release the stretch and repeat on the other arm."
,triceps press,triceps,shoulders,upper arms,body weight,,,,,,"Stand with your feet shoulder-width apart and your knees slightly bent. Extend your arms straight out in front of you, parallel to the ground. Bend your elbows and lower your body towards the ground, keeping your upper arms close to your sides. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
,triceps dips floor,triceps,"chest, shoulders",upper arms,body weight,,,,,,"Sit on the edge of a chair or bench with your hands next to your hips, fingers pointing forward. Slide your butt off the front of the chair with your legs extended in front of you. Straighten your arms, keeping a little bend in your elbows to keep tension on your triceps and off your elbow joints. Slowly bend your elbows to lower your body toward the floor until your elbows are at about a 90-degree angle. Once you reach the bottom of the movement, press down into the chair to straighten your elbows, returning to the starting position. Repeat for the desired number of repetitions."
,triceps dip (between benches),triceps,"chest, shoulders",upper arms,body weight,,,,,,"Sit on a bench with your hands gripping the edge of the bench, fingers pointing forward. Slide your butt off the bench, supporting your weight with your hands. Bend your elbows and lower your body towards the ground, keeping your back close to the bench. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
,cable high pulley overhead tricep extension,triceps,shoulders,upper arms,cable,,,,,,"Attach a rope to a high pulley and stand facing away from the machine. Grasp the rope with both hands and extend your arms overhead. Keep your elbows close to your head and your upper arms stationary. Slowly lower the rope behind your head by bending your elbows. Pause for a moment, then extend your arms back to the starting position. Repeat for the desired number of repetitions."
,cable incline triceps extension,triceps,shoulders,upper arms,cable,,,,,,"Adjust the cable machine to a low pulley position. Attach a straight bar to the cable. Stand facing away from the machine with your feet shoulder-width apart. Grasp the bar with an overhand grip and extend your arms straight overhead. Lean forward slightly, keeping your back straight and core engaged. Bend your elbows and lower the bar behind your head, keeping your upper arms close to your ears. Pause for a moment, then extend your arms back to the starting position. Repeat for the desired number of repetitions."
,cable two arm tricep kickback,triceps,shoulders,upper arms,cable,,,,,,"Stand with your feet shoulder-width apart and knees slightly bent. Hold the cable handle in each hand with your palms facing inwards and your arms bent at a 90-degree angle. Keeping your upper arms stationary, extend your forearms backwards until your arms are fully extended. Pause for a moment, then slowly return to the starting position. Repeat for the desired number of repetitions."
,cable alternate triceps extension,triceps,shoulders,upper arms,cable,,,,,,"Stand facing the cable machine with your feet shoulder-width apart. Hold the cable handle with your right hand and bring your arm up so that your upper arm is parallel to the ground and your elbow is bent at a 90-degree angle. Keep your upper arm stationary and extend your forearm backward, fully straightening your arm. Pause for a moment, then slowly return to the starting position. Repeat with your left arm. Continue alternating arms for the desired number of repetitions."
,cable triceps pushdown (v-bar),triceps,forearms,upper arms,cable,,,,,,"Attach a v-bar attachment to the cable machine at the highest setting. Stand facing the cable machine with your feet shoulder-width apart. Grasp the v-bar with an overhand grip, palms facing down, and your hands shoulder-width apart. Keep your elbows close to your sides and your upper arms stationary throughout the exercise. Engage your triceps and exhale as you push the v-bar down until your arms are fully extended. Pause for a moment at the bottom of the movement, squeezing your triceps. Inhale as you slowly return the v-bar to the starting position, maintaining control. Repeat for the desired number of repetitions."
,cable pushdown,triceps,forearms,upper arms,cable,,,,,,"Attach a straight bar to a high pulley cable machine. Stand facing the machine with your feet shoulder-width apart and a slight bend in your knees. Grasp the bar with an overhand grip, hands shoulder-width apart. Keep your elbows close to your sides and your upper arms stationary. Exhale and push the bar down until your elbows are fully extended. Pause for a moment, then inhale and slowly return the bar to the starting position. Repeat for the desired number of repetitions."
